'CAR_REG_NUM';'ORDER_ID';'CLIENT_PASS';'RENTED_AT';'RETURNED_AT';'REVENUE'
'IUVENCG0Z4';4559;'8475575954';'31.10.23 03:18:11';'03.11.23 03:57:33';7345,623653472222222222222222222222222215
'6IVJC5ER6J';4560;'9392400407';'31.10.23 04:11:24';'04.11.23 11:30:25';12750,4732600694444444444444444444444444
'DJQ5UJMJAF';4561;'6203106062';'31.10.23 08:45:04';'02.11.23 10:54:27';3058,097726041666666666666666666666666656
'RI5LJDOAQ1';4562;'2319736127';'31.10.23 14:32:31';'02.11.23 07:30:34';4518,561621875000000000000000000000000009
'64KHAKX3AN';4563;'7248563181';'31.10.23 15:17:46';'05.11.23 16:15:39';14125,7058394675925925925925925925925926
'STGNFB5OAQ';4564;'7423278445';'31.10.23 18:04:44';'02.11.23 03:03:50';3728,253318749999999999999999999999999973
'35WZ07A6HB';4565;'1771967212';'31.10.23 20:56:29';'05.11.23 23:41:02';4104,048915624999999999999999999999999997
'JTVGH36H7G';4566;'6440288173';'31.10.23 21:52:47';'05.11.23 14:18:38';5163,807636458333333333333333333333333338
'WTAAPUTANR';4567;'2698738321';'01.11.23 02:39:00';'06.11.23 14:54:45';10168,5614375
'8NF6TD5TM7';4568;'6203106062';'01.11.23 06:16:24';'05.11.23 11:01:26';9313,381355555555555555555555555555555567
'9E0XO1CD3C';4569;'2593304943';'01.11.23 10:53:48';'04.11.23 08:02:25';2312,191165393518518518518518518518518521
'1CKXD99MZO';4570;'5628434739';'01.11.23 12:12:45';'05.11.23 07:00:04';6350,776832986111111111111111111111111117
'9ZBNZ3N6CK';4570;'5628434739';'01.11.23 12:12:45';'05.11.23 07:00:04';5829,309747916666666666666666666666666672
'ZD81Y0APUY';4571;'9690628228';'01.11.23 17:34:33';'04.11.23 15:46:17';7339,67653703703703703703703703703703705
'AX5HNZZBCY';4572;'9854001674';'01.11.23 22:20:50';'06.11.23 12:18:34';10691,031237962962962962962962962962963
'QACEM7U8ZP';4572;'9854001674';'01.11.23 22:20:50';'06.11.23 12:18:34';13548,5370351851851851851851851851851852
'L8OO5K9M6A';4573;'2777081145';'02.11.23 02:51:18';'10.11.23 13:16:53';17900,9029467592592592592592592592592593
'2PZWA43HRW';4574;'2607339218';'02.11.23 05:40:22';'08.11.23 19:02:08';8806,348883564814814814814814814814814818
'KAT4M0R932';4574;'2607339218';'02.11.23 05:40:22';'08.11.23 19:02:08';8931,780131018518518518518518518518518522
'AQ0PQ2DBUO';4575;'8041187895';'02.11.23 06:08:09';'08.11.23 07:48:21';16436,9779291666666666666666666666666667
'DQZ85AULFX';4575;'8041187895';'02.11.23 06:08:09';'08.11.23 07:48:21';16741,9744916666666666666666666666666667
'Z52XNE3Q2K';4576;'5193647156';'02.11.23 08:20:23';'05.11.23 00:17:21';6848,532524768518518518518518518518518531
'C0MSW5UPS9';4577;'5671279028';'02.11.23 09:09:39';'07.11.23 05:24:26';11250,0833366898148148148148148148148148
'BOZ56GTDLR';4578;'4006276480';'02.11.23 10:50:36';'07.11.23 18:08:18';10852,5882645833333333333333333333333333
'3QCBS5XF9V';4579;'3885537011';'02.11.23 12:50:29';'05.11.23 09:14:34';8540,882422453703703703703703703703703703
'7EHB0IL2PQ';4580;'7675919362';'02.11.23 15:10:54';'05.11.23 14:31:14';3717,885643518518518518518518518518518514
'9E0XO1CD3C';4581;'5217740412';'02.11.23 17:47:05';'08.11.23 20:24:30';4903,154648726851851851851851851851851844
'GCGMKJZO1V';4581;'5217740412';'02.11.23 17:47:05';'08.11.23 20:24:30';14778,7436024305555555555555555555555555
'GHXXGVSL7E';4582;'7846818259';'02.11.23 19:55:18';'09.11.23 21:09:59';11117,4037282407407407407407407407407407
'VZOB05VTF8';4583;'2101861846';'02.11.23 21:01:44';'04.11.23 23:26:55';4522,060853240740740740740740740740740721
'3E7XGWQ3KA';4584;'2293028260';'02.11.23 23:02:33';'12.11.23 09:42:45';12178,8846541666666666666666666666666667
'KX96C58CQO';4585;'8571109137';'02.11.23 23:49:34';'04.11.23 13:01:17';4600,048489004629629629629629629629629657
'8DRN424EJB';4586;'2051154297';'03.11.23 02:22:48';'09.11.23 08:39:29';16157,7713016203703703703703703703703704
'QZAA1V0520';4586;'2051154297';'03.11.23 02:22:48';'09.11.23 08:39:29';14147,9901561342592592592592592592592593
'2PZWA43HRW';4587;'8706691795';'03.11.23 06:12:18';'06.11.23 04:02:02';3907,770099074074074074074074074074074078
'HALLI015C6';4588;'9701535882';'03.11.23 08:51:33';'10.11.23 09:03:52';18281,7410429398148148148148148148148148
'ZIPMCFV6HT';4589;'9643290090';'03.11.23 11:27:09';'05.11.23 22:34:15';4806,59145902777777777777777777777777776
'CEN248R1KF';4590;'3085836878';'03.11.23 12:38:28';'09.11.23 00:03:20';12938,4091277777777777777777777777777778
'FUWMKFQZJZ';4591;'7116507341';'03.11.23 14:29:59';'11.11.23 03:21:45';19979,8357016203703703703703703703703704
'2S57OLA03Y';4592;'1581153844';'03.11.23 15:00:28';'09.11.23 11:02:55';5568,957138888888888888888888888888888887
'5KMHAO3EL5';4592;'1581153844';'03.11.23 15:00:28';'09.11.23 11:02:55';17306,421234375
'DWRCTHKUWK';4592;'1581153844';'03.11.23 15:00:28';'10.11.23 11:02:55';18218,3065996527777777777777777777777778
'KU53ZQBSHV';4592;'1581153844';'03.11.23 15:00:28';'09.11.23 11:02:55';14057,3572003472222222222222222222222222
'XTWKDWIOYS';4593;'1738598583';'03.11.23 17:38:49';'05.11.23 21:50:15';4156,738543287037037037037037037037037053
'N3E3NQ5S0H';4594;'3100402716';'03.11.23 19:25:41';'10.11.23 03:07:24';14052,3552633101851851851851851851851852
'PEFRVAJXQN';4595;'5101582109';'03.11.23 22:39:45';'05.11.23 01:47:16';917,263872453703703703703703703703703706
'UGNLKSX2N9';4596;'1288295077';'04.11.23 00:01:00';'05.11.23 13:17:05';2808,675950231481481481481481481481481485
'IXDT34DW48';4597;'6828420021';'04.11.23 06:22:14';'09.11.23 03:34:38';6134,401588888888888888888888888888888887
'QC4F332LNY';4598;'8843163468';'04.11.23 12:21:20';'05.11.23 15:11:08';3323,90162500000000000000000000000000001
'BKZWU27BUN';4599;'2356860821';'04.11.23 14:58:46';'09.11.23 02:52:21';11711,9710023148148148148148148148148148
'N6ATECM4AD';4600;'7431416574';'04.11.23 19:10:02';'09.11.23 23:21:26';7732,638604166666666666666666666666666677
'COLWNVEA2G';4601;'4006276480';'04.11.23 19:44:25';'09.11.23 10:42:25';10322,8591111111111111111111111111111111
'WZ36IWB3P5';4601;'4006276480';'04.11.23 19:44:25';'09.11.23 10:42:25';10887,4020277777777777777777777777777778
'V5SW80UEXC';4602;'2778480879';'04.11.23 20:37:33';'10.11.23 04:48:33';14429,277375
'TU7NA1K2VC';4603;'6828420021';'04.11.23 20:48:53';'10.11.23 04:07:56';13375,2869135416666666666666666666666667
'6GVM51DP35';4604;'4941134487';'05.11.23 07:46:43';'11.11.23 18:36:18';17608,1471643518518518518518518518518519
'C0MSW5UPS9';4604;'4941134487';'05.11.23 07:46:43';'12.11.23 18:36:18';17306,4453616898148148148148148148148148
'ZPM0TH6DPB';4604;'4941134487';'05.11.23 07:46:43';'12.11.23 18:36:18';17199,2240393518518518518518518518518519
'GCGMKJZO1V';4605;'2148375822';'05.11.23 10:11:59';'08.11.23 13:46:25';7617,375663194444444444444444444444444452
'7EHB0IL2PQ';4606;'8475575954';'05.11.23 10:29:15';'14.11.23 03:20:03';10884,2180722222222222222222222222222222
'D3B88KL4Z9';4607;'5628434739';'05.11.23 10:40:04';'10.11.23 17:02:28';9192,396266666666666666666666666666666674
'ZD81Y0APUY';4607;'5628434739';'05.11.23 10:40:04';'10.11.23 17:02:28';13213,6483888888888888888888888888888889
'BOZ56GTDLR';4608;'6475640971';'05.11.23 12:05:26';'08.11.23 04:44:13';5511,454820717592592592592592592592592599
'XBCLRF4VW9';4609;'5943253499';'05.11.23 14:15:33';'12.11.23 08:13:06';19403,8553774305555555555555555555555555
'KX96C58CQO';4610;'1827969981';'05.11.23 14:37:47';'15.11.23 10:39:07';29189,5566203703703703703703703703703703
'DJQ5UJMJAF';4611;'8487687028';'05.11.23 18:13:50';'09.11.23 16:09:11';5726,572228125
'XOHQKBLE1O';4612;'2319736127';'05.11.23 21:38:16';'14.11.23 16:24:44';22992,4180949074074074074074074074074074
'R3NO6XE7BO';4613;'2101861846';'05.11.23 22:38:03';'07.11.23 13:11:53';4101,23744675925925925925925925925925925
'Y2QR98GL7P';4614;'1771967212';'06.11.23 01:46:44';'07.11.23 09:17:09';2997,465671296296296296296296296296296292
'2A9957I3CK';4615;'8706691795';'06.11.23 02:32:02';'12.11.23 15:16:48';12996,6691136574074074074074074074074074
'62E8QPJETN';4616;'3826269565';'06.11.23 03:09:15';'10.11.23 23:27:59';6843,132667592592592592592592592592592589
'J53C6QU2O1';4617;'1738598583';'06.11.23 05:49:29';'12.11.23 20:48:46';12589,0054640046296296296296296296296296
'WZ36IWB3P5';4618;'1368514808';'06.11.23 08:22:24';'12.11.23 15:08:38';14792,7274162037037037037037037037037037
'IMQC9WDZFA';4619;'2732293253';'06.11.23 09:06:18';'13.11.23 20:37:06';18288,5940083333333333333333333333333333
'KU53ZQBSHV';4620;'8571109137';'06.11.23 10:11:27';'10.11.23 20:11:12';10639,9059149305555555555555555555555555
'QELYVZVYT0';4621;'1288295077';'06.11.23 14:38:29';'10.11.23 01:21:47';6907,052362499999999999999999999999999998
'2S57OLA03Y';4622;'9236429996';'06.11.23 16:56:01';'10.11.23 22:07:53';4024,298296296296296296296296296296296292
'B2J3ID7WIW';4623;'2698738321';'06.11.23 19:16:42';'09.11.23 23:56:57';4673,949838541666666666666666666666666673
'GMN3JSMBYN';4623;'2698738321';'06.11.23 19:16:42';'09.11.23 23:56:57';5841,58273784722222222222222222222222223
'JTVGH36H7G';4624;'6154329440';'06.11.23 20:40:05';'09.11.23 18:25:20';3203,721682291666666666666666666666666665
'YUW6U6UH1F';4625;'2593304943';'06.11.23 23:00:51';'10.11.23 11:48:46';3565,604933449074074074074074074074074071
'WTAAPUTANR';4626;'6440288173';'07.11.23 00:05:07';'10.11.23 19:58:35';7064,741774074074074074074074074074074081
'IXZ2GTP78X';4627;'9392400407';'07.11.23 00:31:49';'09.11.23 03:03:30';2084,282291666666666666666666666666666669
'8NF6TD5TM7';4628;'3693158129';'07.11.23 03:06:22';'11.11.23 00:30:52';8634,666333333333333333333333333333333336
'GQE85X2HNR';4628;'3693158129';'07.11.23 03:06:22';'11.11.23 00:30:52';3454,201246527777777777777777777777777779
'9ZBNZ3N6CK';4629;'5067475694';'07.11.23 09:43:30';'14.11.23 16:23:27';11214,85649375
'4XEV64RI8V';4630;'7423278445';'07.11.23 16:55:57';'09.11.23 09:16:11';3192,321381018518518518518518518518518533
'6IVJC5ER6J';4631;'1102731227';'07.11.23 18:26:55';'12.11.23 15:43:59';14474,2198944444444444444444444444444445
'JTPWNEX6NA';4632;'5193647156';'07.11.23 23:41:34';'13.11.23 13:08:21';5723,515619444444444444444444444444444451
'IUVENCG0Z4';4633;'7248563181';'08.11.23 01:10:43';'09.11.23 09:28:46';3265,654626041666666666666666666666666653
'DDZW79R7R7';4634;'1368514808';'08.11.23 02:16:13';'14.11.23 05:31:25';6822,553711111111111111111111111111111116
'Z52XNE3Q2K';4635;'5101582109';'08.11.23 06:30:27';'10.11.23 02:05:18';4667,198552430555555555555555555555555567
'3L70R0T3Y0';4636;'9643290090';'08.11.23 08:58:32';'14.11.23 11:16:50';10190,6309333333333333333333333333333333
'W7VN003WB9';4637;'1115322853';'08.11.23 21:06:05';'17.11.23 02:22:51';11137,7398351851851851851851851851851852
'XTWKDWIOYS';4637;'1115322853';'08.11.23 21:06:05';'16.11.23 02:22:51';13800,9135525462962962962962962962962963
'CONZKRWM9F';4638;'7675919362';'09.11.23 02:57:36';'11.11.23 01:03:20';4057,426832407407407407407407407407407411
'UGNLKSX2N9';4639;'5401346885';'09.11.23 07:32:43';'11.11.23 08:13:26';3668,622960879629629629629629629629629642
'290J01JF3W';4640;'2015120198';'09.11.23 17:08:10';'14.11.23 11:14:34';7394,159544444444444444444444444444444453
'9640XOEI93';4641;'4908697342';'09.11.23 18:13:16';'15.11.23 23:50:56';12700,8421921296296296296296296296296296
'QELYVZVYT0';4642;'9701535882';'09.11.23 21:51:16';'13.11.23 04:35:25';6574,245243750000000000000000000000000016
'V5SW80UEXC';4642;'9701535882';'09.11.23 21:51:16';'13.11.23 04:35:25';8863,095918750000000000000000000000000021
'41M9WECI3N';4643;'3885537011';'09.11.23 23:09:27';'12.11.23 11:29:58';2914,390204282407407407407407407407407413
'26SHL8JTK8';4644;'6722121469';'09.11.23 23:59:46';'13.11.23 07:05:00';3952,449836574074074074074074074074074079
'2PZWA43HRW';4645;'2051154297';'10.11.23 02:00:20';'12.11.23 01:00:57';2630,793082523148148148148148148148148143
'R3NO6XE7BO';4646;'1771967212';'10.11.23 08:33:00';'15.11.23 18:43:09';13843,3824006944444444444444444444444445
'W7VN003WB9';4647;'8843163468';'10.11.23 09:19:50';'11.11.23 16:04:41';1735,901358333333333333333333333333333342
'64KHAKX3AN';4648;'4254543917';'10.11.23 13:00:09';'13.11.23 14:12:49';8549,258004629629629629629629629629629621
'J8R2EJGKP0';4648;'4254543917';'10.11.23 13:00:09';'13.11.23 14:12:49';7267,361953703703703703703703703703703697
'CT269S476M';4649;'9392400407';'10.11.23 14:53:09';'19.11.23 13:08:52';23558,8149981481481481481481481481481482
'YAX9FVDJCF';4650;'2101861846';'10.11.23 18:31:02';'13.11.23 10:16:33';5148,614111574074074074074074074074074081
'C0MSW5UPS9';4651;'5671279028';'10.11.23 18:58:13';'14.11.23 21:19:18';9518,242517939814814814814814814814814798
'D3B88KL4Z9';4651;'5671279028';'10.11.23 18:58:13';'14.11.23 21:19:18';7154,080027777777777777777777777777777765
'LXJWCP63S6';4652;'2778480879';'10.11.23 22:48:52';'12.11.23 09:42:25';3639,127826041666666666666666666666666675
'GMN3JSMBYN';4653;'9633258077';'11.11.23 01:21:42';'14.11.23 13:51:48';6438,217192361111111111111111111111111097
'A2PEK4ZS2D';4654;'7901136300';'11.11.23 02:02:25';'12.11.23 19:59:42';3438,626514467592592592592592592592592581
'IUVENCG0Z4';4655;'2607339218';'11.11.23 03:18:27';'12.11.23 19:37:39';4076,4024
'JTPWNEX6NA';4656;'1288295077';'11.11.23 04:29:14';'17.11.23 12:43:19';6529,347236111111111111111111111111111105
'QZAA1V0520';4656;'1288295077';'11.11.23 04:29:14';'20.11.23 12:43:19';21110,6713547453703703703703703703703704
'CEN248R1KF';4657;'6154329440';'11.11.23 05:33:19';'14.11.23 12:09:21';7738,617697222222222222222222222222222227
'C7SJN6DPK2';4658;'7170394449';'11.11.23 05:58:11';'13.11.23 20:27:53';4550,625504166666666666666666666666666661
'COLWNVEA2G';4658;'7170394449';'11.11.23 05:58:11';'13.11.23 20:27:53';5813,701533333333333333333333333333333326
'RI5LJDOAQ1';4659;'5067734724';'11.11.23 13:07:58';'14.11.23 12:21:43';7856,309973958333333333333333333333333322
'GCGMKJZO1V';4660;'2698738321';'11.11.23 15:39:22';'19.11.23 05:42:29';18349,6981753472222222222222222222222222
'VZOB05VTF8';4661;'7791719572';'11.11.23 16:36:01';'18.11.23 08:13:48';14316,9237365740740740740740740740740741
'B2J3ID7WIW';4662;'7846818259';'11.11.23 16:56:38';'13.11.23 03:32:39';2109,276183680555555555555555555555555554
'QACEM7U8ZP';4663;'8843163468';'11.11.23 21:14:24';'15.11.23 06:16:17';9983,944951157407407407407407407407407406
'PEFRVAJXQN';4664;'9690628228';'11.11.23 21:50:59';'15.11.23 09:09:33';2817,178288425925925925925925925925925924
'JNBRPW7X8F';4665;'6440288173';'12.11.23 00:42:00';'14.11.23 18:04:04';5638,079779629629629629629629629629629635
'2PZWA43HRW';4666;'3693158129';'12.11.23 02:30:48';'19.11.23 23:24:07';10570,6001957175925925925925925925925926
'BKZWU27BUN';4666;'3693158129';'12.11.23 02:30:48';'17.11.23 23:24:07';15293,693550462962962962962962962962963
'DWRCTHKUWK';4666;'3693158129';'12.11.23 02:30:48';'17.11.23 23:24:07';15647,030446412037037037037037037037037
'TU7NA1K2VC';4666;'3693158129';'12.11.23 02:30:48';'18.11.23 23:24:07';17322,3043366898148148148148148148148148
'STGNFB5OAQ';4667;'3085836878';'12.11.23 04:17:23';'18.11.23 08:54:48';16798,740984375
'8DRN424EJB';4668;'9534244544';'12.11.23 05:01:47';'15.11.23 17:49:44';9117,535734027777777777777777777777777775
'YUW6U6UH1F';4669;'2356860821';'12.11.23 06:23:21';'15.11.23 09:11:56';3145,592965856481481481481481481481481472
'JTVGH36H7G';4670;'6203106062';'12.11.23 06:51:38';'16.11.23 12:18:55';4659,688573263888888888888888888888888886
'CONZKRWM9F';4671;'2148375822';'12.11.23 11:35:53';'19.11.23 04:51:28';14194,4167077546296296296296296296296296
'1CKXD99MZO';4672;'2777081145';'12.11.23 16:27:16';'17.11.23 09:03:21';7876,607904513888888888888888888888888894
'3QCBS5XF9V';4673;'1102731227';'12.11.23 17:59:15';'19.11.23 01:37:26';18933,9513349537037037037037037037037037
'7EHB0IL2PQ';4674;'7423278445';'13.11.23 04:32:27';'21.11.23 02:28:50';9898,86690671296296296296296296296296296
'A2PEK4ZS2D';4674;'7423278445';'13.11.23 04:32:27';'20.11.23 02:28:50';13600,4887748842592592592592592592592593
'BKZWU27BUN';4675;'5217740412';'13.11.23 04:53:15';'14.11.23 15:55:23';3803,167948148148148148148148148148148136
'41M9WECI3N';4676;'1221052903';'13.11.23 05:36:43';'17.11.23 15:51:16';5131,291411458333333333333333333333333329
'Y2QR98GL7P';4676;'1221052903';'13.11.23 05:36:43';'16.11.23 15:51:16';7824,277308333333333333333333333333333326
'WZ36IWB3P5';4677;'1152069998';'13.11.23 07:43:17';'18.11.23 23:25:28';13314,3922099537037037037037037037037037
'2A9957I3CK';4678;'7675919362';'13.11.23 13:24:07';'16.11.23 10:37:37';5739,81971875
'5E0YUYHO11';4678;'7675919362';'13.11.23 13:24:07';'15.11.23 10:37:37';4153,36978125
'JTPWNEX6NA';4679;'8041187895';'13.11.23 13:55:24';'18.11.23 10:08:38';4984,69962777777777777777777777777777778
'4XEV64RI8V';4680;'8177238241';'13.11.23 14:36:06';'19.11.23 12:31:05';11231,3812803240740740740740740740740741
'35WZ07A6HB';4681;'9236429996';'13.11.23 22:35:12';'18.11.23 21:35:34';3979,118082638888888888888888888888888887
'5E0YUYHO11';4681;'9236429996';'13.11.23 22:35:12';'18.11.23 21:35:34';10929,2733150462962962962962962962962963
'J53C6QU2O1';4682;'2593304943';'14.11.23 00:52:29';'18.11.23 23:33:00';9396,955734606481481481481481481481481499
'Z52XNE3Q2K';4682;'2593304943';'14.11.23 00:52:29';'18.11.23 23:33:00';12709,2816334490740740740740740740740741
'2S57OLA03Y';4683;'8571109137';'14.11.23 06:09:52';'20.11.23 07:06:18';5763,802759259259259259259259259259259264
'C7SJN6DPK2';4684;'2732293253';'14.11.23 07:55:51';'21.11.23 06:21:01';12117,9705300925925925925925925925925926
'XBCLRF4VW9';4684;'2732293253';'14.11.23 07:55:51';'21.11.23 06:21:01';19938,2282488425925925925925925925925926
'3E7XGWQ3KA';4685;'5401346885';'14.11.23 10:06:05';'16.11.23 19:45:51';3098,197023842592592592592592592592592592
'DJQ5UJMJAF';4686;'5244690319';'14.11.23 17:01:07';'17.11.23 11:38:09';4061,735310416666666666666666666666666663
'VW1PG20WOG';4687;'2015120198';'14.11.23 18:53:25';'19.11.23 03:36:32';5356,400591087962962962962962962962962959
'JNBRPW7X8F';4688;'9690628228';'14.11.23 20:59:01';'20.11.23 23:07:01';12604,2435555555555555555555555555555556
